jarmutipus,ev,sorszam,psz,esz,sd_al,sd_op,pp_al,pp_op,erkezett,munkabavetel,allapotfelvetel,reszatvetel,vegatvetel,hazaadas,szamlazas,megjegyzes,id
T5C5K2MOD,2014,1,4043,NULL,20001715,NULL,71018361,NULL,2014.01.30,NULL,2014.05.23,2014.06.20,2014.11.15,2014.11.20,NULL,NULL,98,1
T5C5K2MOD,2014,2,4042,NULL,20001711,NULL,71018359,NULL,2014.01.30,NULL,2014.05.20,2014.06.20,2014.11.15,2014.11.20,NULL,NULL,98,2
T5C5K2MOD,2014,3,4079,NULL,20001756,NULL,71018459,NULL,2014.04.28,NULL,2014.06.18,2014.06.26,2014.11.22,2014.11.24,NULL,NULL,98,3
T5C5K2MOD,2014,4,4099,NULL,20001757,NULL,71018461,NULL,2014.04.28,NULL,2014.06.06,2014.06.13,2014.11.22,2014.11.24,NULL,NULL,98,4
T5C5K2MOD,2014,5,4092,NULL,20001758,NULL,71018485,NULL,2014.04.28,NULL,2014.07.09,2014.06.30,2014.11.27,2014.11.27,NULL,NULL,98,5
T5C5K2MOD,2014,6,4138,NULL,20001759,NULL,71018483,NULL,2014.04.28,NULL,2014.06.20,2014.07.14,2014.11.27,2014.11.27,NULL,NULL,98,6
T5C5K2MOD,2014,7,4088,NULL,20001761,NULL,71018487,NULL,2014.05.09,NULL,2014.07.14,2014.08.04,2014.12.03,2014.12.03,NULL,NULL,98,7
T5C5K2MOD,2014,8,4078,NULL,20001762,NULL,71018489,NULL,2014.05.09,NULL,2014.07.23,2014.08.07,2014.12.06,2014.12.06,NULL,NULL,98,8
T5C5K2MOD,2014,9,4084,NULL,20001763,NULL,71018491,NULL,2014.05.09,NULL,2014.07.21,2014.08.04,2014.12.06,2014.12.06,NULL,NULL,98,9
T5C5K2MOD,2014,10,4143,NULL,20001764,NULL,71018493,NULL,2014.05.09,NULL,2014.07.07,2014.07.22,2014.12.03,2014.12.03,NULL,NULL,98,10
T5C5K2MOD,2014,11,4023,NULL,20001786,NULL,71018505,NULL,2014.06.23,NULL,2014.08.15,2014.08.27,2014.12.10,2014.12.10,NULL,NULL,98,11
